year,channel_name,theme,total_subjects,total_duration,n_days,total_subjects_all_themes,theme_share,avg_female_share,avg_male_share
2018,TF1,Faits divers,253,23181,148,6058,0.041762958071970946,0.38376840544014895,0.616231594559851
2019,France 2,Faits divers,334,29925,159,6002,0.05564811729423526,0.3788897635886644,0.6211102364113357
2019,France 3,Faits divers,331,25764,198,4738,0.06986070071760236,0.3508603539792523,0.6491396460207478
2019,M6,Faits divers,434,31493,239,5469,0.07935637228012433,0.4384163030894098,0.5615836969105902
2019,TF1,Faits divers,326,33611,163,5585,0.05837063563115488,0.4190758031828693,0.5809241968171307
2010,France 2,Histoire-hommages,137,11310,92,7015,0.019529579472558803,0.2798687260951868,0.7201312739048131
2010,France 3,Histoire-hommages,102,8709,71,5197,0.019626707715989993,0.2983292962870903,0.7016707037129097
2010,M6,Histoire-hommages,84,4971,59,5124,0.01639344262295082,0.3960734782522851,0.6039265217477149
2010,TF1,Histoire-hommages,136,11619,102,7168,0.018973214285714284,0.3268777265697555,0.6731222734302444
2011,France 2,Histoire-hommages,143,11918,92,7918,0.018060116190957314,0.3003856275098211,0.6996143724901788
2011,France 3,Histoire-hommages,90,7787,63,5563,0.016178321049793276,0.29821827251532657,0.7017817274846735
2011,M6,Histoire-hommages,66,4550,42,5558,0.01187477509895646,0.3921738155567911,0.6078261844432089
2011,TF1,Histoire-hommages,148,11073,110,7964,0.01858362631843295,0.35015486024680925,0.6498451397531907
2012,France 2,Histoire-hommages,159,13368,100,8241,0.019293775027302514,0.3279118449844103,0.6720881550155897
2012,France 3,Histoire-hommages,98,8391,81,5363,0.018273354465784077,0.3011573633003392,0.6988426366996607
2012,M6,Histoire-hommages,103,7703,71,5533,0.018615579251762153,0.40754850482157173,0.5924514951784282
2012,TF1,Histoire-hommages,161,13331,115,7700,0.02090909090909091,0.36169019916989725,0.6383098008301028
2013,France 2,Histoire-hommages,212,19234,121,8332,0.025444071051368217,0.34255751561709413,0.6574424843829059
