hour,channel_name,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
15,Monte Carlo TMC,0.2982657377183182,0.7017342622816818,864545.2000000001,2056245.6,1156
15,NRJ 12,0.34001835830277816,0.6599816416972218,1030266.72,1976696.84,1167
15,Paris Première,0.24959000389730196,0.750409996102698,389571.48,1175369.82,660
15,Planète+,0.15826897542579754,0.8417310245742026,277604.48000000004,1462385.94,637
15,TF1,0.4261090725767623,0.5738909274232378,1182021.3599999999,1622894.9,1155
15,TV Breizh,0.3282054582036745,0.6717945417963255,507194.58,1023501.86,590
15,TV5 Monde,0.28827196623974827,0.7117280337602517,514783.13999999996,1255205.02,659
15,Toute l'Histoire,0.18685299435418903,0.813147005645811,369335.08,1615984.12,698
15,Téva,0.49060527371219537,0.5093947262878046,1139074.6400000001,1149557.9000000001,937
15,Voyage,0.22694762503531432,0.7730523749646858,398222.28,1351031.88,667
15,W9,0.38110829246556804,0.618891707534432,1000737.28,1613780.34,1138
16,ARTE,0.27911692878439137,0.7208830712156086,804212.76,2053145.58,1110
16,Animaux,0.36284612643673675,0.6371538735632633,703917.7400000001,1238164.9,706
16,BFM TV,0.39669029931489924,0.6033097006851008,1486116.96,2264383.7600000002,1179
16,Canal+,0.19764136533093363,0.8023586346690664,549300.86,2347775.8400000003,1134
16,Canal+ Sport,0.04734851336311193,0.9526514866368881,91263.08000000002,2042723.26,677
16,Chasse et pêche,0.08022523923027879,0.9197747607697212,129121.72000000002,1479230.78,641
16,Chérie 25,0.40654846872690653,0.5934515312730935,877789.88,1265072.66,767
16,Comédie+,0.28250580247637713,0.7174941975236229,482014.80000000005,1224750.7,645
16,D8/C8,0.26234393531783995,0.73765606468216,579237.5399999999,1686785.8800000001,885
16,Euronews,0.34209722983049917,0.6579027701695008,597573.9,1145637.48,634
16,Eurosport France,0.06705667651971331,0.9329433234802866,215269.03999999998,3171525.7600000002,1097
16,France 2,0.3114829986932697,0.6885170013067303,1039739.46,2282202.6,1136
16,France 24,0.45836345884511365,0.5416365411548864,1448101.98,1713158.46,1016
16,France 3,0.28221790535749147,0.7177820946425085,819669.96,2088875.96,1126
16,France 5,0.24559267874547328,0.7544073212545267,759805.78,2325840.16,1138
